codigo_oc,fecha,mes,organismo,region,rubro,proveedor,monto
711-16-SE25,2025-01-13,1,SUBSECRETARIA DE TRANSPORTES,Region Metropolitana de Santiago,Servicios de limpieza industrial,SOCIEDAD COMERCIAL 7 PLAGAS LIMITADA,2482280
5520-175-SE25,2025-01-13,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,"Equipos y suministros de defensa, orden público, protección y seguridad",MANUFACTURAS RAC LIMITADA,376952
5626-38-SE25,2025-01-13,1,UNIVERSIDAD DE VALPARAISO,Region de Valparaiso,Equipamiento para laboratorios,HANNA INSTRUMENTS EQUIPOS LIMITADA,4565499
5520-154-SE25,2025-01-13,1,UNIVERSIDAD DE CHILE,Region Metropolitana de Santiago,Servicios de construcción y mantenimiento,MARCIA IVONNE SANTIBAÑEZ BAHAMONDES,2000000
2580-14-SE25,2025-01-13,1,SUPERINTENDENCIA DE PENSIONES,Region Metropolitana de Santiago,Servicios básicos y de información pública,POLICOMP S A,7314879
906-3-SE25,2025-01-13,1,SERVICIO AGRICOLA Y GANADERO,Region de la Araucania,Servicios de limpieza industrial,JOSE OMAR RODRIGUEZ CARRASCO,8823529
5067-13-SE25,2025-01-14,1,UNIVERSIDAD DE SANTIAGO DE CHILE,Region Metropolitana de Santiago,"Equipos y suministros de imprenta, fotográficos y audiovisuales",IMPORTACIONES Y EXPORTACIONES TECNODATA S A,487395
1751-2-SE25,2025-01-14,1,SUBSECRETARIA DE TRANSPORTES,Region Metropolitana de Santiago,"Servicios editoriales, de diseño, publicidad, gráficos y artistas",LITORALPRESS MEDIA DE INFORMACION S.A.,1384019
1403-12-SE25,2025-01-14,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region Aysen del General Carlos IbaNez del Campo,"Alimentos, bebidas y tabaco",JULIO JAVIER DIAZ BARRIENTOS,1155806
5626-47-SE25,2025-01-14,1,UNIVERSIDAD DE VALPARAISO,Region de Valparaiso,"Servicios de transporte, almacenaje y correo",TURISMO J. ZAHR LIMITADA,245194
1376-23-SE25,2025-01-14,1,DIRECCION GENERAL DE GENDARMERIA DE CHIL,Region de Atacama,"Alimentos, bebidas y tabaco",COMERCIALIZADORA  SAN NICOLAS  SPA,17631160
